コード,銘柄名,業種
2413.T,エムスリー,サービス業
2418.T,ツカダ・グローバルホールディング,サービス業
2424.T,ブラス,サービス業
2428.T,ウェルネット,サービス業
2429.T,ワールドホールディングス,サービス業
2432.T,ディー・エヌ・エー,サービス業
2433.T,博報堂ＤＹホールディングス,サービス業
2440.T,ぐるなび,サービス業
2445.T,タカミヤ,サービス業
2461.T,ファンコミュニケーションズ,サービス業
2462.T,ライク,サービス業
2464.T,Ａｏｂａ‐ＢＢＴ,サービス業
2471.T,エスプール,サービス業
2475.T,ＷＤＢホールディングス,サービス業
2477.T,手間いらず,情報・通信業
2485.T,ティア,サービス業
2487.T,ＣＤＧ,サービス業
2489.T,アドウェイズ,サービス業
2491.T,バリューコマース,サービス業
2492.T,インフォマート,サービス業
2501.T,サッポロホールディングス,食料品
2502.T,アサヒグループホールディングス,食料品
2503.T,キリンホールディングス,食料品
250A.T,シマダヤ,食料品
2531.T,宝ホールディングス,食料品
2533.T,オエノンホールディングス,食料品
2540.T,養命酒製造,食料品
256A.T,飛島ホールディングス,建設業
2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,食料品
2585.T,ライフドリンク　カンパニー,食料品
2587.T,サントリー食品インターナショナル,食料品
2590.T,ダイドーグループホールディングス,食料品
2593.T,伊藤園,食料品
2594.T,キーコーヒー,食料品
2597.T,ユニカフェ,食料品
2602.T,日清オイリオグループ,食料品
2607.T,不二製油グループ本社,食料品
2612.T,かどや製油,食料品
2613.T,Ｊ－オイルミルズ,食料品
2659.T,サンエー,小売業
2664.T,カワチ薬品,小売業
2670.T,エービーシー・マート,小売業
2674.T,ハードオフコーポレーション,小売業
2676.T,高千穂交易,卸売業
2678.T,アスクル,小売業
2681.T,ゲオホールディングス,小売業
2685.T,アダストリア,小売業
2686.T,ジーフット,小売業
2687.T,シー・ヴイ・エス・ベイエリア,小売業
2689.T,オルバヘルスケアホールディングス,卸売業
2692.T,伊藤忠食品,卸売業
2695.T,くら寿司,小売業
2698.T,キャンドゥ,小売業
2715.T,エレマテック,卸売業
2722.T,ＩＫホールディングス,小売業
2726.T,パルグループホールディングス,小売業
2730.T,エディオン,小売業
2733.T,あらた,卸売業
2734.T,サーラコーポレーション,小売業
2735.T,ワッツ,小売業
2737.T,トーメンデバイス,卸売業
2742.T,ハローズ,小売業
2749.T,ＪＰホールディングス,サービス業
2752.T,フジオフードグループ本社,小売業
2753.T,あみやき亭,小売業
2760.T,東京エレクトロン　デバイス,卸売業
2764.T,ひらまつ,小売業
2767.T,円谷フィールズホールディングス,卸売業
2768.T,双日,卸売業
2784.T,アルフレッサ　ホールディングス,卸売業
2791.T,大黒天物産,小売業
2792.T,ハニーズホールディングス,小売業
2796.T,ファーマライズホールディングス,小売業
2801.T,キッコーマン,食料品
2802.T,味の素,食料品
2804.T,ブルドックソース,食料品
2809.T,キユーピー,食料品
2810.T,ハウス食品グループ本社,食料品
2811.T,カゴメ,食料品
2815.T,アリアケジャパン,食料品
2818.T,ピエトロ,食料品
2819.T,エバラ食品工業,食料品
2820.T,やまみ,食料品
2871.T,ニチレイ,食料品
2874.T,横浜冷凍,卸売業
2875.T,東洋水産,食料品
2882.T,イートアンドホールディングス,食料品
2883.T,大冷,食料品
2884.T,ヨシムラ・フード・ホールディングス,食料品
2897.T,日清食品ホールディングス,食料品
2904.T,一正蒲鉾,食料品
2908.T,フジッコ,食料品
2910.T,ロック・フィールド,食料品
2914.T,日本たばこ産業,食料品
2915.T,ケンコーマヨネーズ,食料品
2918.T,わらべや日洋ホールディングス,食料品
2922.T,なとり,食料品
2924.T,イフジ産業,食料品
2929.T,ファーマフーズ,食料品
2930.T,北の達人コーポレーション,化学
2931.T,ユーグレナ,食料品
2933.T,紀文食品,食料品
2935.T,ピックルスホールディングス,食料品
2975.T,スター・マイカ・ホールディングス,不動産業
2980.T,ＳＲＥホールディングス,不動産業
2982.T,ＡＤワークスグループ,不動産業
3001.T,片倉工業,繊維製品
3002.T,グンゼ,繊維製品
3003.T,ヒューリック,不動産業
3004.T,神栄,卸売業
3023.T,ラサ商事,卸売業
3028.T,アルペン,小売業
3030.T,ハブ,小売業
3031.T,ラクーンホールディングス,情報・通信業
3034.T,クオールホールディングス,小売業
3036.T,アルコニックス,卸売業
3038.T,神戸物産,卸売業
3040.T,ソリトンシステムズ,情報・通信業
3046.T,ジンズホールディングス,小売業
3048.T,ビックカメラ,小売業
3050.T,ＤＣＭホールディングス,小売業
3053.T,ペッパーフードサービス,小売業
3054.T,ハイパー,卸売業
3064.T,ＭｏｎｏｔａＲＯ,小売業
3067.T,東京一番フーズ,小売業
3073.T,ＤＤグループ,小売業
3076.T,あい　ホールディングス,卸売業
3079.T,ディーブイエックス,卸売業
3082.T,きちりホールディングス,小売業
3086.T,Ｊ．フロント　リテイリング,小売業
3087.T,ドトール・日レスホールディングス,小売業
3088.T,マツキヨココカラ＆カンパニー,小売業
3091.T,ブロンコビリー,小売業
3092.T,ＺＯＺＯ,小売業
3093.T,トレジャー・ファクトリー,小売業
3097.T,物語コーポレーション,小売業
3099.T,三越伊勢丹ホールディングス,小売業
3101.T,東洋紡,繊維製品
3103.T,ユニチカ,繊維製品
3104.T,富士紡ホールディングス,繊維製品
3105.T,日清紡ホールディングス,電気機器
3106.T,倉敷紡績,繊維製品
3107.T,ダイワボウホールディングス,卸売業
3109.T,シキボウ,繊維製品
3110.T,日東紡績,ガラス・土石製品
3116.T,トヨタ紡織,輸送用機器
3132.T,マクニカホールディングス,卸売業
3134.T,Ｈａｍｅｅ,小売業
3135.T,マーケットエンタープライズ,小売業
3139.T,ラクト・ジャパン,卸売業
3141.T,ウエルシアホールディングス,小売業
3148.T,クリエイトＳＤホールディングス,小売業
3150.T,グリムス,電気・ガス業
3151.T,バイタルケーエスケー・ホールディングス,卸売業
3153.T,八洲電機,卸売業
3154.T,メディアスホールディングス,卸売業
3156.T,レスター,卸売業
3157.T,ジオリーブグループ,卸売業
3159.T,丸善ＣＨＩホールディングス,小売業
3160.T,大光,卸売業
3166.T,ＯＣＨＩホールディングス,卸売業
3167.T,ＴＯＫＡＩホールディングス,卸売業
3168.T,黒谷,卸売業
3169.T,ミサワ,小売業
3172.T,ティーライフ,小売業
3173.T,Ｃｏｍｉｎｉｘ,卸売業
3175.T,エー・ピーホールディングス,小売業
3176.T,三洋貿易,卸売業
3178.T,チムニー,小売業
3179.T,シュッピン,小売業
3180.T,ビューティガレージ,卸売業
3182.T,オイシックス・ラ・大地,小売業
3183.T,ウイン・パートナーズ,卸売業
3186.T,ネクステージ,小売業
3191.T,ジョイフル本田,小売業
3193.T,エターナルホスピタリティグループ,小売業
3196.T,ホットランド,小売業
3197.T,すかいらーくホールディングス,小売業
3198.T,ＳＦＰホールディングス,小売業
3199.T,綿半ホールディングス,小売業
3201.T,日本毛織,繊維製品
3202.T,ダイトウボウ,繊維製品
3204.T,トーア紡コーポレーション,繊維製品
3205.T,ダイドーリミテッド,繊維製品
3221.T,ヨシックスホールディングス,小売業
3222.T,ユナイテッド・スーパーマーケット・ホールディングス,小売業
3231.T,野村不動産ホールディングス,不動産業
3232.T,三重交通グループホールディングス,不動産業
3245.T,ディア・ライフ,不動産業
3246.T,コーセーアールイー,不動産業
3252.T,地主,不動産業
3254.T,プレサンスコーポレーション,不動産業
3267.T,フィル・カンパニー,建設業
3271.T,ＴＨＥグローバル社,不動産業
3275.T,ハウスコム,不動産業
3276.T,ＪＰＭＣ,不動産業
3277.T,サンセイランディック,不動産業
3280.T,エストラスト,不動産業
3284.T,フージャースホールディングス,不動産業
3288.T,オープンハウスグループ,不動産業
3289.T,東急不動産ホールディングス,不動産業
3291.T,飯田グループホールディングス,不動産業
3294.T,イーグランド,不動産業
3299.T,ムゲンエステート,不動産業
3302.T,帝国繊維,繊維製品
3315.T,日本コークス工業,石油・石炭製品
3319.T,ゴルフダイジェスト・オンライン,小売業
3321.T,ミタチ産業,卸売業
3328.T,ＢＥＥＮＯＳ,小売業
3333.T,あさひ,小売業
3341.T,日本調剤,小売業
3349.T,コスモス薬品,小売業
3360.T,シップヘルスケアホールディングス,卸売業
3361.T,トーエル,小売業
3371.T,ソフトクリエイトホールディングス,情報・通信業
3382.T,セブン＆アイ・ホールディングス,小売業
3387.T,クリエイト・レストランツ・ホールディングス,小売業
3388.T,明治電機工業,卸売業
3391.T,ツルハホールディングス,小売業
3392.T,デリカフーズホールディングス,卸売業
3393.T,スターティアホールディングス,卸売業
3395.T,サンマルクホールディングス,小売業
3396.T,フェリシモ,小売業
3397.T,トリドールホールディングス,小売業
3401.T,帝人,繊維製品
3402.T,東レ,繊維製品
3405.T,クラレ,化学
3407.T,旭化成,化学
3415.T,ＴＯＫＹＯ　ＢＡＳＥ,小売業
3421.T,稲葉製作所,金属製品
3431.T,宮地エンジニアリンググループ,金属製品
3433.T,トーカロ,金属製品
3434.T,アルファ,金属製品
3436.T,ＳＵＭＣＯ,金属製品
3443.T,川田テクノロジーズ,金属製品
3445.T,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,金属製品
3446.T,ジェイテックコーポレーション,金属製品
3447.T,信和,金属製品
3452.T,ビーロット,不動産業
3454.T,ファーストブラザーズ,不動産業
3457.T,Ａｎｄ　Ｄｏホールディングス,不動産業
3458.T,シーアールイー,不動産業
3465.T,ケイアイスター不動産,不動産業
3467.T,アグレ都市デザイン,不動産業
3475.T,グッドコムアセット,不動産業
3480.T,ジェイ・エス・ビー,不動産業
3482.T,ロードスターキャピタル,不動産業
3484.T,イノベーションホールディングス,不動産業
3486.T,グローバル・リンク・マネジメント,不動産業
3489.T,フェイスネットワーク,不動産業
3498.T,霞ヶ関キャピタル,不動産業
3501.T,住江織物,繊維製品
3512.T,日本フエルト,繊維製品
3513.T,イチカワ,繊維製品
3521.T,エコナックホールディングス,サービス業
3524.T,日東製網,繊維製品
3526.T,芦森工業,輸送用機器
3529.T,アツギ,繊維製品
3538.T,ウイルプラスホールディングス,小売業
3539.T,ＪＭホールディングス,小売業
3543.T,コメダホールディングス,卸売業
3544.T,サツドラホールディングス,小売業
3546.T,アレンザホールディングス,小売業
3547.T,串カツ田中ホールディングス,小売業
3548.T,バロックジャパンリミテッド,小売業
3549.T,クスリのアオキホールディングス,小売業
3551.T,ダイニック,繊維製品
3553.T,共和レザー,化学
3559.T,ピーバンドットコム,卸売業
3561.T,力の源ホールディングス,小売業
3563.T,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,小売業
3565.T,アセンテック,卸売業
3569.T,セーレン,繊維製品
3571.T,ソトー,繊維製品
3577.T,東海染工,繊維製品
3580.T,小松マテーレ,繊維製品
3591.T,ワコールホールディングス,繊維製品
3593.T,ホギメディカル,繊維製品
3607.T,クラウディアホールディングス,繊維製品
3608.T,ＴＳＩホールディングス,繊維製品
3611.T,マツオカコーポレーション,繊維製品
3612.T,ワールド,繊維製品
3626.T,ＴＩＳ,情報・通信業
3627.T,テクミラホールディングス,情報・通信業
3632.T,グリー,情報・通信業
3633.T,ＧＭＯペパボ,情報・通信業
3635.T,コーエーテクモホールディングス,情報・通信業
3636.T,三菱総合研究所,情報・通信業
3639.T,ボルテージ,情報・通信業
3640.T,電算,情報・通信業
3648.T,ＡＧＳ,情報・通信業
3649.T,ファインデックス,情報・通信業
3655.T,ブレインパッド,情報・通信業
3656.T,ＫＬａｂ,情報・通信業
3657.T,ポールトゥウィンホールディングス,情報・通信業
3659.T,ネクソン,情報・通信業
3660.T,アイスタイル,情報・通信業
3661.T,エムアップホールディングス,情報・通信業
3662.T,エイチーム,情報・通信業
3663.T,セルシス,情報・通信業
3665.T,エニグモ,情報・通信業
3666.T,テクノスジャパン,情報・通信業
3667.T,ｅｎｉｓｈ,情報・通信業
3668.T,コロプラ,情報・通信業
3672.T,オルトプラス,情報・通信業
3673.T,ブロードリーフ,情報・通信業
3675.T,クロス・マーケティンググループ,情報・通信業
3676.T,デジタルハーツホールディングス,情報・通信業
3678.T,メディアドゥ,情報・通信業
3679.T,じげん,情報・通信業
3681.T,ブイキューブ,情報・通信業
3682.T,エンカレッジ・テクノロジ,情報・通信業
3683.T,サイバーリンクス,情報・通信業
3686.T,ディー・エル・イー,情報・通信業
3687.T,フィックスターズ,情報・通信業
3688.T,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,情報・通信業
3694.T,オプティム,情報・通信業
3696.T,セレス,情報・通信業
3697.T,ＳＨＩＦＴ,情報・通信業
3708.T,特種東海製紙,パルプ・紙
3738.T,ティーガイア,情報・通信業
3741.T,セック,情報・通信業
3762.T,テクマトリックス,情報・通信業
3763.T,プロシップ,情報・通信業
3765.T,ガンホー・オンライン・エンターテイメント,情報・通信業
3769.T,ＧＭＯペイメントゲートウェイ,情報・通信業
3770.T,ザッパラス,情報・通信業
3771.T,システムリサーチ,情報・通信業
3774.T,インターネットイニシアティブ,情報・通信業
3778.T,さくらインターネット,情報・通信業
3788.T,ＧＭＯグローバルサイン・ホールディングス,情報・通信業
3817.T,ＳＲＡホールディングス,情報・通信業
3826.T,システムインテグレータ,情報・通信業
3834.T,朝日ネット,情報・通信業
3835.T,ｅＢＡＳＥ,情報・通信業
3836.T,アバントグループ,情報・通信業
3837.T,アドソル日進,情報・通信業
3839.T,ＯＤＫソリューションズ,情報・通信業
3843.T,フリービット,情報・通信業
3844.T,コムチュア,情報・通信業
3853.T,アステリア,情報・通信業
3854.T,アイル,情報・通信業
3861.T,王子ホールディングス,パルプ・紙
3863.T,日本製紙,パルプ・紙
3864.T,三菱製紙,パルプ・紙
3865.T,北越コーポレーション,パルプ・紙
3877.T,中越パルプ工業,パルプ・紙
3878.T,巴川コーポレーション,化学
3880.T,大王製紙,パルプ・紙
3896.T,阿波製紙,パルプ・紙
3901.T,マークラインズ,情報・通信業
3902.T,メディカル・データ・ビジョン,情報・通信業
3903.T,ｇｕｍｉ,情報・通信業
3909.T,ショーケース,情報・通信業
3912.T,モバイルファクトリー,情報・通信業
3915.T,テラスカイ,情報・通信業
3916.T,デジタル・インフォメーション・テクノロジー,情報・通信業
3918.T,ＰＣＩホールディングス,情報・通信業
3920.T,アイビーシー,情報・通信業
3921.T,ネオジャパン,情報・通信業
3922.T,ＰＲ　ＴＩＭＥＳ,情報・通信業
3923.T,ラクス,情報・通信業
3924.T,ランドコンピュータ,情報・通信業
3925.T,ダブルスタンダード,情報・通信業
3926.T,オープンドア,情報・通信業
3928.T,マイネット,情報・通信業
3932.T,アカツキ,情報・通信業
3934.T,ベネフィットジャパン,情報・通信業
3937.T,Ｕｂｉｃｏｍホールディングス,情報・通信業
3939.T,カナミックネットワーク,情報・通信業
3940.T,ノムラシステムコーポレーション,情報・通信業
3941.T,レンゴー,パルプ・紙
3946.T,トーモク,パルプ・紙
3950.T,ザ・パック,パルプ・紙
3962.T,チェンジホールディングス,情報・通信業
3963.T,シンクロ・フード,情報・通信業
3964.T,オークネット,情報・通信業
3965.T,キャピタル・アセット・プランニング,情報・通信業
3968.T,セグエグループ,情報・通信業
3969.T,エイトレッド,情報・通信業
3978.T,マクロミル,情報・通信業
3981.T,ビーグリー,情報・通信業
3983.T,オロ,情報・通信業
3984.T,ユーザーローカル,情報・通信業
3985.T,テモナ,情報・通信業
3992.T,ニーズウェル,情報・通信業
3993.T,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,情報・通信業
3994.T,マネーフォワード,情報・通信業
3996.T,サインポスト,情報・通信業
4004.T,レゾナック・ホールディングス,化学
4005.T,住友化学,化学
4008.T,住友精化,化学
4021.T,日産化学,化学
4022.T,ラサ工業,化学
4023.T,クレハ,化学
4025.T,多木化学,化学
4027.T,テイカ,化学
4028.T,石原産業,化学
4031.T,片倉コープアグリ,化学
4041.T,日本曹達,化学
4042.T,東ソー,化学
4043.T,トクヤマ,化学
4044.T,セントラル硝子,化学
4045.T,東亞合成,化学
4046.T,大阪ソーダ,化学
4047.T,関東電化工業,化学
4053.T,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,情報・通信業
4061.T,デンカ,化学
4062.T,イビデン,電気機器
4063.T,信越化学工業,化学
4064.T,日本カーバイド工業,化学
4071.T,プラスアルファ・コンサルティング,情報・通信業
4072.T,電算システムホールディングス,情報・通信業
4078.T,堺化学工業,化学
4082.T,第一稀元素化学工業,化学
4088.T,エア・ウォーター,化学
4091.T,日本酸素ホールディングス,化学
4092.T,日本化学工業,化学
4093.T,東邦アセチレン,化学
4095.T,日本パーカライジング,化学
4097.T,高圧ガス工業,化学
4098.T,チタン工業,化学
4099.T,四国化成ホールディングス,化学
4100.T,戸田工業,化学
4109.T,ステラ　ケミファ,化学
4112.T,保土谷化学工業,化学
4114.T,日本触媒,化学
4116.T,大日精化工業,化学
4118.T,カネカ,化学
4151.T,協和キリン,医薬品
4180.T,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,情報・通信業
4182.T,三菱瓦斯化学,化学
4183.T,三井化学,化学
4186.T,東京応化工業,化学
4187.T,大阪有機化学工業,化学
4188.T,三菱ケミカルグループ,化学
4189.T,ＫＨネオケム,化学
4194.T,ビジョナル,情報・通信業
4202.T,ダイセル,化学
4203.T,住友ベークライト,化学
4204.T,積水化学工業,化学
4205.T,日本ゼオン,化学
4206.T,アイカ工業,化学
4208.T,ＵＢＥ,化学
4212.T,積水樹脂,化学
4216.T,旭有機材,化学
4218.T,ニチバン,化学
4220.T,リケンテクノス,化学
4221.T,大倉工業,化学
4228.T,積水化成品工業,化学
4229.T,群栄化学工業,化学
4231.T,タイガースポリマー,化学
4238.T,ミライアル,化学
4245.T,ダイキアクシス,化学
4246.T,ダイキョーニシカワ,化学
4248.T,竹本容器,化学
4249.T,森六ホールディングス,化学
4251.T,恵和,化学
4272.T,日本化薬,化学
4275.T,カーリット,化学
4284.T,ソルクシーズ,情報・通信業
4286.T,ＣＬホールディングス,サービス業
4290.T,プレステージ・インターナショナル,サービス業
4295.T,フェイス,情報・通信業
4298.T,プロトコーポレーション,サービス業
4299.T,ハイマックス,情報・通信業
4301.T,アミューズ,サービス業
4307.T,野村総合研究所,情報・通信業
4310.T,ドリームインキュベータ,サービス業
4318.T,クイック,サービス業
4319.T,ＴＡＣ,サービス業
4320.T,ＣＥホールディングス,情報・通信業
4323.T,日本システム技術,情報・通信業
4324.T,電通グループ,サービス業
4326.T,インテージホールディングス,情報・通信業
4331.T,テイクアンドギヴ・ニーズ,サービス業
4333.T,東邦システムサイエンス,情報・通信業
4337.T,ぴあ,サービス業
4343.T,イオンファンタジー,サービス業
4344.T,ソースネクスト,情報・通信業
4345.T,シーティーエス,サービス業
4346.T,ＮＥＸＹＺ．Ｇｒｏｕｐ,その他金融業
4350.T,メディカルシステムネットワーク,小売業
4362.T,日本精化,化学
4368.T,扶桑化学工業,化学
4369.T,トリケミカル研究所,化学
4373.T,シンプレクス・ホールディングス,情報・通信業
4382.T,ＨＥＲＯＺ,情報・通信業
4384.T,ラクスル,情報・通信業
4385.T,メルカリ,情報・通信業
4390.T,アイ・ピー・エス,情報・通信業
4392.T,ＦＩＧ,情報・通信業
4396.T,システムサポート,情報・通信業
4401.T,ＡＤＥＫＡ,化学
4403.T,日油,化学
4404.T,ミヨシ油脂,食料品
4406.T,新日本理化,化学
4410.T,ハリマ化成グループ,化学
4420.T,イーソル,情報・通信業
4430.T,東海ソフト,情報・通信業
4432.T,ウイングアーク１ｓｔ,情報・通信業
4433.T,ヒト・コミュニケーションズ・ホールディングス,情報・通信業
4434.T,サーバーワークス,情報・通信業
4439.T,東名,情報・通信業
4440.T,ヴィッツ,情報・通信業
4441.T,トビラシステムズ,情報・通信業
4443.T,Ｓａｎｓａｎ,情報・通信業
4446.T,Ｌｉｎｋ－Ｕグループ,情報・通信業
4449.T,ギフティ,情報・通信業
4452.T,花王,化学
4461.T,第一工業製薬,化学
4462.T,石原ケミカル,化学
4463.T,日華化学,化学
4465.T,ニイタカ,化学
4471.T,三洋化成工業,化学
4480.T,メドレー,情報・通信業
4481.T,ベース,情報・通信業
4483.T,ＪＭＤＣ,情報・通信業
4502.T,武田薬品工業,医薬品
4503.T,アステラス製薬,医薬品
4506.T,住友ファーマ,医薬品
4507.T,塩野義製薬,医薬品
4512.T,わかもと製薬,医薬品
4516.T,日本新薬,医薬品
4519.T,中外製薬,医薬品
4521.T,科研製薬,医薬品
4523.T,エーザイ,医薬品
4526.T,理研ビタミン,食料品
4527.T,ロート製薬,医薬品
4528.T,小野薬品工業,医薬品
4530.T,久光製薬,医薬品
4531.T,有機合成薬品工業,化学
4534.T,持田製薬,医薬品
4536.T,参天製薬,医薬品
4538.T,扶桑薬品工業,医薬品
4539.T,日本ケミファ,医薬品
4540.T,ツムラ,医薬品
4543.T,テルモ,精密機器
4544.T,Ｈ．Ｕ．グループホールディングス,サービス業
4547.T,キッセイ薬品工業,医薬品
4548.T,生化学工業,医薬品
4549.T,栄研化学,医薬品
4551.T,鳥居薬品,医薬品
4552.T,ＪＣＲファーマ,医薬品
4553.T,東和薬品,医薬品
4554.T,富士製薬工業,医薬品
4559.T,ゼリア新薬工業,医薬品
